РПД,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
РПД_000071856.docx,К.М.06.01 «Информационные системы и технологии»,«Информационные системы и технологии»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,2,[],0.5095233743483335,0.4843052141376867,0.4668819282178512
РПД_000086165.docx,Б1.В.09.ДВ.01.0 «Международный опыт государственного управления»,«Международный опыт государственного управления»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,6,[],0.33310201707155723,0.4788672509426346,0.5289293713651637
РПД_000086419.docx,ФТД.05 «Академическое письмо и критическое мышление»,«Академическое письмо и критическое мышление»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,2,[],0.3446657611217678,0.3867242771760338,0.6305470878802566
РПД_000086495.docx,Б1.В.ДВ.01.02 «Сравнительное правоведение»,«Сравнительное правоведение»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,6,[],0.33310201707155723,0.4042164423438111,0.5523977613396747
РПД_000096858.docx,Б1.В.ДВ.01.02 «Электронное правительство»,«Электронное правительство»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,8,[],0.380211698878375,0.4287579557384461,0.6031556472997676
РПД_000084590.docx,Б1.В.06 «Экономика государственного и муниципального сектора»,«Экономика государственного и муниципального сектора»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,6,[],0.4163345013821983,0.0,0.5296279244660237
РПД_000098516.docx,Б1.В.ДВ.02.02 «Управление государственными целевыми программами»,«Управление государственными целевыми программами»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,8,"['Основы моделирования социально-экономических процессов', 'Экономика общественного сектора', 'Бюджетная система РФ', 'Институциональная экономика', 'Моделирование деловых и административных процессов', 'Маркетинг', 'Региональная экономика', 'Экономическая оценка инвестиций']",0.36991733319277176,0.4408132341121561,0.43362767430800137
РПД_000076298.docx,Б1.О.08 «Высшая математика»,«Высшая математика»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,3,[],0.4092341214012452,0.5173195754105618,0.5605403540876642
РПД_000076369.docx,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Цифровое государство»,бакалавр,очная,2023,1,[],0.35127634890018317,0.5524206760319784,0.5301071332720771
РПД_000089602.docx,ФТД.ДВ.01.04 «Жизненная навигация для лиц с ограниченными возможностями здоровья»,«Жизненная навигация для лиц с ограниченными возможностями здоровья»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,1,[],0.29284157615146406,0.42272667335656877,0.4143820232919994
