,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
2877,Б1.В.ДВ.09.02 «Критерии оценки эффективности деятельности государственных и муниципальных служащих»,«Критерии оценки эффективности деятельности государственных и муниципальных служащих»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,5,[],0.2683041402852849,0.0,0.47689995034307214
2878,Б1.О.13 «Теория управления»,«Теория управления»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.4331230086604377,0.6049549882748375,0.51333253356451
2879,Б1.В.10.ДВ.02.0 «Коллизионное право»,«Коллизионное право»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,6,[],0.4113329011447081,0.46553649826740867,0.5953102629548467
2880,Б1.В.ДВ.10.02 «Глобальный контекст бизнеса и управления (Business Strategy)»,«Глобальный контекст бизнеса и управления (Business Strategy)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,['Управление государственными целевыми программами'],0.5172773016175362,0.5810147818042155,0.6876339919749018
2881,ФТД.03 «Основы регионоведения»,«Основы регионоведения»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,1,[],0.3476905329988841,0.3210891256280801,0.46399772853083304
2882,Б1.В.11 «Правоведение»,«Правоведение»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,3,[],0.39448979831646047,0.39308635540090986,0.40770523061792197
2883,Б1.В.02 «Теория организации»,«Теория организации»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,4,[],0.3936366739940085,0.4586479993528025,0.5270399313160078
2884,Б1.О.08.01 «Линейная алгебра»,«Линейная алгебра»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,1,[],0.4092341214012452,0.6284731018429536,0.4567218013549571
2885,Б1.В.ДВ.05.02 «Теория общественного выбора»,«Теория общественного выбора»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,6,"['Социология управления', 'Экономическая социология', 'Теория систем и системный анализ', 'Этно-религиозные традиции народов России: история и современные процессы']",0.5828310748381428,0.49118428701260347,0.6933389218676359
2886,Б1.О.15 «Прогнозирование и планирование»,«Прогнозирование и планирование»,«Государственная и муниципальная служба»,бакалавр,очная,2023,5,[],0.5076885010848565,0.5953217834629484,0.5029614604843932
2887,Б1.В.18.ДВ.01.0 «Поощрения и дисциплинарные взыскания на государственной гражданской службе»,«Поощрения и дисциплинарные взыскания на государственной гражданской службе»,«Государственная и муниципальная служба»,бакалавр,очная,2023,7,[],0.4205058830376504,0.483630857024247,0.6120463214262332
2888,Б1.В.ДВ.02.01 «Механизмы разрешения конфликтов в системе государственного и муниципального управления»,«Механизмы разрешения конфликтов в системе государственного и муниципального управления»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,6,"['Лидерство и командообразование', 'Теория межличностных коммуникаций']",0.2683041402852849,0.5441775112601478,0.511683852358914
2889,Б1.В.09.02 «Бюджетная система Российской Федерации»,«Бюджетная система Российской Федерации»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,4,[],0.3007489338555601,0.4329680033111618,0.5678005255415857
